year,category,work,partner_or_note,source
2010,Investigative Reporting,The Deadly Choices at Memorial,Published with The New York Times Magazine,ProPublica Pulitzer archive
2011,National Reporting,The Wall Street Money Machine,,ProPublica Pulitzer archive
2016,Explanatory Reporting,An Unbelievable Story of Rape,With Ken Armstrong of The Marshall Project,ProPublica Pulitzer archive
2017,Public Service,Nuisance Abatement,With New York Daily News,ProPublica Pulitzer archive
2019,Feature Writing,Trapped in Gangland,Hannah Dreier,ProPublica Pulitzer archive
2020,National Reporting,Disaster in the Pacific,T. Christian Miller Megan Rose and Robert Faturechi,ProPublica Pulitzer archive
2024,Public Service,Friends of the Court,Supreme Court gifts and relationships,ProPublica Pulitzer archive
2025,Public Service,Life of the Mother,Pregnancy deaths under abortion-ban exceptions,Pulitzer Prize Board
2026,Local Reporting,On the Hook,With The Connecticut Mirror; towing law investigation,Pulitzer Prize Board / AP
